,1,2,bool
[CH2]C(=CC(=[CH])[O])[CH],45,45,True
[CH2]C(=[CH])[S],23,23,True
[R1]CC(=[CH])[S],5,5,True
[R1]Cc1cccs1,5,5,True
[CH2]c1cccs1,46,46,True
[C]O[C],24,24,True
C([O])(F)(F)F,18,18,True
[CH]=CC(=C[CH])O[C],9,9,True
[CH]=C([CH])OC(F)(F)F,3,3,True
[C]OC(F)(F)F,18,18,True
[R1]C(C[CH2])(C[CH2])C[NH],2,2,True
[R1]C([CH2])([CH2])CN[CH2],2,2,True
[CH]CNC[C],2,2,True
CC(C)CN[CH2],2,2,True
CC(C)C[NH],2,2,True
[CH]C(=[C])[C],48,48,True
[CH2]C(=O)[C],16,16,True
[R1]C(=C([CH])[C])C=[CH],29,29,True
[CH]C=CC(=[C])[C],33,33,True
[R1]C(=C(C=[CH])C(=O)[CH2])[CH],2,2,True
[CH]CC(=O)C(=[C])[CH],2,2,True
CC(C)CC(=O)[C],2,2,True
CC(C)C[C],10,10,True
[CH2]C([C])O,3,3,True
CC[CH2],22,22,True
[CH]O,14,14,True
[R1]C(=C(C=[CH])C([CH2])O)[CH],3,3,True
[CH2]CC(C(=[C])[CH])O,2,2,True
CCCC([C])O,2,2,True
CCC[CH],2,2,True
[CH]C([C])O,6,6,True
CC(C)[CH],8,8,True
[R1]C(=C(C=[CH])C([CH])O)[CH],6,6,True
CC(C)C(C(=[C])[CH])O,3,3,True
CC(C)C([C])O,3,3,True
CC([CH])[CH],1,1,True
C=C[CH],1,1,True
C=[CH],1,1,True
CC([CH])C(C(=[C])[CH])O,1,1,True
CC(C=C)C([C])O,1,1,True
CC([CH])C=C,1,1,True
CC([CH2])[CH],39,39,True
CC[CH],78,78,True
CC([CH2])C(C(=[C])[CH])O,2,2,True
CCC(C)C([C])O,2,2,True
CCC(C)[CH],39,39,True
[R1]C(C[CH2])(C[CH2])CN,3,3,True
[R1]C([CH2])([CH2])CN,3,3,True
[R1]C[NH],21,21,True
[R1]CN[CH2],8,8,True
[R1]CNC[CH2],8,8,True
[CH]=C(CC[NH])[S],4,4,True
[CH2]Cc1cccs1,11,11,True
[CH]C(=[C])Cl,115,115,True
[R1]C(=C([CH])Cl)C=[CH],34,34,True
[R1]C(=[C])C=C[C],97,97,True
[CH]=CC(=C[C])Cl,158,158,True
[CH]C(=CC(=[C])Cl)Cl,50,50,True
[R1]C(=C(C=[C])Cl)[CH],15,15,True
[CH]=CC(=C[CH])C(=[C])[CH],14,14,True
[R1]C(=C(C=[CH])C(=[CH])[CH])[CH],13,13,True
[R1]C(=[CH])[C],41,41,True
[CH]=C([C])[NH],34,34,True
[CH]=C([C])[C],49,49,True
[R1]C1=CN[C]C1=[CH],19,19,True
[R1]C1=CN[C][C]1,19,19,True
[CH]=C1[C][C]=CN1,23,23,True
[CH]C=c1c(=[CH])[c]c[nH]1,23,23,True
[R1]c1c[nH]c(=[CH])c1=C[CH],19,19,True
[CH]=CC=C([C])[C],49,49,True
[CH]C=CC=[C],51,51,True
[CH]=CC=C([C])[NH],34,34,True
[C]=C[S],33,33,True
[CH]=C([C])[S],4,4,True
[R1]C1=CS[C]C1=[CH],3,3,True
[R1]C1=CS[C][C]1,3,3,True
[CH]=C1[C][C]=CS1,4,4,True
[CH]C=c1c(=[CH])[c]cs1,4,4,True
[R1]c1csc(=[CH])c1=C[CH],3,3,True
[CH]=CC=C([C])[S],4,4,True
[R1]C(=[CH])[N],6,6,True
C(=[N])[NH],14,14,True
[CH]=N[C],16,16,True
[R1]c1c[nH]cn1,18,18,True
c1[c]nc[nH]1,28,28,True
[R1]C(=C[C])C=[CH],131,131,True
[CH]C(=[C])C=C[C],7,7,True
[CH]=CC(=C([CH])[CH])C=[CH],7,7,True
[CH]=CC(=C([CH])[CH])C=[C],7,7,True
[R1]C(=CC(=[C])[CH])[CH],5,5,True
[C]C=CC(=[C])Cl,37,37,True
[CH]=CC(=C([CH])Cl)Cl,4,4,True
[CH]C(=C(C=[C])Cl)Cl,4,4,True
[R1]C(=CC(=[C])Cl)[CH],7,7,True
[CH2]O[C],77,77,True
C([O])[O],29,29,True
[CH]=CC1=C(OCO1)[CH],29,29,True
[CH]C1=C(OCO1)C=[C],29,29,True
[R1]C(=CC(=[C])[O])[CH],26,26,True
[CH]C1=[C]OCO1,29,29,True
C1O[C]=[C]O1,29,29,True
[CH]C=CC(=[C])Cl,24,24,True
[R1]C(=C(C=[CH])Cl)[CH],20,20,True
[R1]C[CH2],127,127,True
[R1]CC[CH2],8,8,True
[R1]CCC[N],6,6,True
[CH2]CCN([CH2])[CH2],16,16,True
[CH2]CN(C[CH2])C[CH2],8,8,True
[CH2]CCC[N],30,30,True
[R1]CC[N],11,11,True
[R1]CCN([CH2])[CH2],9,9,True
[R1]C[N],15,15,True
[R1]CN([CH2])[CH2],13,13,True
[R1]CN(C[CH2])C[CH2],8,8,True
[CH2]CN(C[CH2])C[CH],2,2,True
[CH2]N([CH2])CC[CH],5,5,True
[CH2]C([CH])CC[N],4,4,True
[CH2]CC(C[CH2])C([CH2])[CH2],4,4,True
[CH2]CC(C[N])C([CH2])[CH2],4,4,True
[CH2]C([CH])CN([CH2])[CH2],4,4,True
[R1][N],81,81,True
[R1]N([CH2])[CH2],51,51,True
[R1]N(C[CH2])C[CH2],24,24,True
[R1]N([CH2])CC[CH2],14,14,True
[R1]CN(C[CH2])C[CH],2,2,True
[CH]C(=[C])CC[N],3,3,True
[CH2]CC(=C([CH2])[CH])C=[CH],3,3,True
[CH2]C(=C(C[N])C=[CH])[CH],3,3,True
[R1]CN(C[CH2])C[C],2,2,True
[R1]C([CH2])CC[NH],3,3,True
CN([CH2])CC[CH2],1,1,True
CN([CH2])CC(=[CH])[CH],2,2,True
[CH]=CC(=C[CH])C[N],34,34,True
[R1]C[CH],14,14,True
[CH2]C([CH2])[CH2],14,14,True
[R1]CC([CH2])[CH2],7,7,True
[R1]CC(C[CH2])C[CH2],7,7,True
[CH2]C([CH2])CC[N],1,1,True
CCN(C[CH2])C[CH2],1,1,True
[R1]C(C)C,15,15,True
[R1]CN1CCCC1,1,1,True
[CH2]N1CCCC1,2,2,True
C1CC[N]C1,8,8,True
[R1]CC[NH],5,5,True
[R1]CCN[CH],1,1,True
[CH2]CNC([CH2])[CH2],1,1,True
[CH2]CC(C[CH2])N[CH2],2,2,True
[CH2]CCC([CH2])[NH],2,2,True
[R1]CCN(C)[CH2],1,1,True
[CH2]N([CH2])CC[N],3,3,True
CN([CH2])CC[N],8,8,True
CN(C[CH2])C[CH2],13,13,True
[R1]CN[CH],12,12,True
[R1]CNC([CH2])[CH2],1,1,True
[R1]C(C)C[CH2],1,1,True
[R1]C(C)CC[CH2],1,1,True
[CH]CCC[N],1,1,True
CCN(CC)C[CH2],2,2,True
[R1]CC[C],77,77,True
[R1]CCC(=[C])[CH],47,47,True
[CH2]CC(=C([CH])[O])C=[C],2,2,True
